point_id,reference_voltage_v,reference_current_a,measured_bus_v,measured_current_a,duration_s,environment_temperature_c,reference_instrument_id,notes
P05,4.950,0.500,4.942879199604743,0.5025863219932242,71.328,25.024781690140845,UTP3313TFL-II_panel_current+DT-9205A_VDC20V_U2,UTP电流开始中间结束均0.500A；DT-9205A U2开始中间结束均4.95V；全程CV
P10,4.890,1.000,4.890943000409333,1.0002628328557783,73.782,24.789937837837837,UTP3313TFL-II_panel_current+DT-9205A_VDC20V_U2,UTP电流开始中间结束均1.000A；DT-9205A U2开始中间结束均4.89V；全程CV
P20,4.770,2.000,4.781644170351408,2.020977741796602,86.516,24.911788372093024,UTP3313TFL-II_panel_current+DT-9205A_VDC20V_U2,UTP电流开始中间结束均2.000A；DT-9205A U2开始中间结束均4.77V；全程CV
